PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.322289,0.213855,0.457831,0.006024,0.536145,0.981651,0.318386,0.413127
0.200000,0.800000,0.301205,0.346386,0.325301,0.027108,0.647590,0.917431,0.515695,0.480769
0.300000,0.700000,0.286145,0.409639,0.262048,0.042169,0.695783,0.871560,0.609865,0.521978
0.400000,0.600000,0.259036,0.454819,0.216867,0.069277,0.713855,0.788991,0.677130,0.544304
0.500000,0.500000,0.246988,0.493976,0.177711,0.081325,0.740964,0.752294,0.735426,0.581560
0.600000,0.400000,0.213855,0.527108,0.144578,0.114458,0.740964,0.651376,0.784753,0.596639
0.700000,0.300000,0.180723,0.566265,0.105422,0.147590,0.746988,0.550459,0.843049,0.631579
0.800000,0.200000,0.144578,0.596386,0.075301,0.183735,0.740964,0.440367,0.887892,0.657534
0.900000,0.100000,0.114458,0.632530,0.039157,0.213855,0.746988,0.348624,0.941704,0.745098
